label	definition	caption
pile-driver	The heavy, rhythmic pounding sound created by a pile-driver as it drives stakes or piles into the ground. Often heard in construction sites or areas with heavy machinery.	
Race car, auto racing	The roaring, high-pitched sounds produced by a race car during its engine revving and acceleration. Often heard in race tracks or other high-speed driving environments.	
Light engine (high frequency)	An engine designed to operate at high frequencies, typically used in radio communication or radar systems. The sound produced is a high-pitched whine or buzz, often heard when the engine is in operation.	
Marimba_and_xylophone	A percussion instrument consisting of a set of wooden bars struck with mallets, producing a bright, resonant sound. Often heard in orchestras, bands, or cultural performances.	
Guitar	A stringed musical instrument played by plucking or strumming the strings, producing a rich, melodic sound. Commonly used in various genres of music, including rock, pop, and folk.	
Cleaning	The process of removing dirt, dust, or debris from surfaces, typically using various tools and products. Often heard in households, offices, or industrial settings, characterized by the sound of brushing, sweeping, or vacuuming.	
Cricket	The chirping sound produced by crickets, characterized by a rhythmic, high-pitched melody, often heard in warm, humid environments like grasslands, forests, or gardens, especially during twilight or nighttime.	
Fire alarm	The loud, piercing sound emitted by a fire alarm, signaling danger and urging evacuation, typically heard in public spaces like offices, schools, or residential buildings.	
Male_speech_and_man_speaking	Distinctive vocalizations produced by adult males, characterized by variations in pitch, tone, and rhythm, often heard in social settings or during conversations.	
Wind instrument, woodwind instrument	Acoustic instruments that produce sound by the vibration of air, typically made from wood or other materials, and played by blowing air through a mouthpiece. Examples include flutes, clarinets, and saxophones.	
cutlery and dishes	The clinking and clattering sounds produced by cutlery and dishes when they are being used, typically heard in kitchens or dining areas.	
Cupboard_open_or_close	The creaking or clicking sound produced when a cupboard is opened or closed, often heard in kitchens or living spaces.	
Run	The rhythmic footsteps sound created when someone is running, characterized by variations in speed, intensity, and pattern, often heard in outdoor environments.	
Printer	A mechanical device that produces printed documents on paper, characterized by rhythmic, repetitive sounds and occasional paper movement.	
Inside, large room or hall	A spacious interior with high ceilings and ample space for movement, often found in commercial or institutional settings.	
stationary-music	Background music played in a fixed location, often heard in public spaces like cafes, restaurants, or shopping centers.	
Chime	A short, ringing sound produced by a set of metal bells, typically heard in religious or ceremonial contexts.	
Church bell	The resonant, tolling sound produced by a large bell, often heard in church settings, marking the passage of time or signaling important events.	
adults_talking	Conversational vocalizations produced by adults, characterized by varying pitch, volume, and rhythm, often heard in social settings like cafes, bars, or parks.	
Train whistle	The resonant, piercing shriek emitted by a locomotive, heralding its imminent arrival or departure, from bustling cities to serene countryside.	
mouse_click	The sharp, high-pitched sound produced when a mouse clicks its teeth or scurries across a hard surface, typically heard in homes, offices, or rural areas.	
Snare_drum	A percussion instrument characterized by a sharp, cracking sound produced by a stretched wire or animal skin stretched over a hollow wooden box. Often used in orchestral and percussive music, particularly in rhythmic patterns.	
Singing	The act of producing musical sounds by vibrating the vocal cords, characterized by a wide range of pitches and rhythms. Often heard in concerts, performances, or informal settings, and can be solo or in a group.	
Rail_transport	The rhythmic clanking and rumbling sound produced by trains moving on rails, often heard in urban or suburban areas near train stations or tracks.	
Clapping	The sharp, percussive sound created by the rapid movement of fingers together, typically heard in applause, celebrations, or performances.	
